,weight_diff_layer1,weight_diff_layer2
0,182.635009765625,2.4295601844787598
1,172.54269409179688,2.5616350173950195
2,170.75863647460938,2.5683891773223877
3,169.10330200195312,2.531949520111084
4,167.03138732910156,2.504148006439209
5,165.14398193359375,2.5024642944335938
6,164.00009155273438,2.4800639152526855
7,162.58172607421875,2.4878907203674316
8,161.5479736328125,2.4794375896453857
9,159.40255737304688,2.4740476608276367
10,157.45880126953125,2.4921529293060303
11,156.98776245117188,2.468264579772949
12,154.60360717773438,2.4336516857147217
